day,date,ts_reward,oracle_reward,ts_cumulative,oracle_cumulative,n_candidates,n_selected,daily_efficiency,cumulative_gap
115,2013-12-17,72117.45423329901,75574.90744952174,4382268.215970418,4724448.135391147,914,100,0.9542513073068327,-342179.91942072846
116,2013-12-18,72556.40387010483,73638.92296402002,4454824.619840523,4798087.058355167,982,100,0.9852996343463074,-343262.43851464335
117,2013-12-19,73079.83126121432,75616.70688184263,4527904.451101737,4873703.765237009,954,100,0.9664508582132201,-345799.31413527206
118,2013-12-20,70837.02011847832,73569.76037802295,4598741.471220216,4947273.525615032,1098,100,0.9628551153965568,-348532.05439481605
119,2013-12-23,49152.10946010389,48655.4101411637,4647893.58068032,4995928.935756195,72,72,1.0102085116022888,-348035.3550758753
120,2013-12-24,58280.726239710675,58679.866307411154,4706174.306920031,5054608.802063607,170,100,0.9931980065256204,-348434.4951435756
121,2013-12-25,5892.938161082727,5593.740390149401,4712067.245081114,5060202.542453756,12,12,1.05348796155435,-348135.297372642
122,2013-12-26,7251.001122194983,6687.12876152366,4719318.246203309,5066889.671215279,13,13,1.0843220432535599,-347571.4250119701
123,2013-12-27,45131.12256233244,45171.2063633962,4764449.368765641,5112060.877578675,63,63,0.9991126249597744,-347611.5088130338
124,2013-12-30,73643.44963859934,75067.50021562689,4838092.8184042405,5187128.377794302,1060,100,0.9810297322684643,-349035.55939006153
125,2013-12-31,70483.92557764065,75503.98207163457,4908576.743981881,5262632.359865936,1094,100,0.9335126922281909,-354055.6158840554
126,2014-01-01,6590.195615468711,6601.523760611539,4915166.93959735,5269233.883626548,14,14,0.9982840105476227,-354066.944029198
127,2014-01-02,73941.96320391099,74324.34315218191,4989108.90280126,5343558.22677873,1108,100,0.9948552529083508,-354449.32397746947
128,2014-01-03,72825.19253415124,76041.99179616026,5061934.095335412,5419600.21857489,1110,100,0.9576970672910299,-357666.1232394781
129,2014-01-06,70350.5678925008,69995.02256852716,5132284.663227913,5489595.241143418,617,100,1.0050795801033645,-357310.5779155046
130,2014-01-07,61911.59535821484,65669.95819069228,5194196.258586128,5555265.19933411,831,100,0.9427689169290482,-361068.9407479819
131,2014-01-08,69686.71591699327,73118.51503654357,5263882.974503121,5628383.714370654,1101,100,0.9530652514231842,-364500.7398675326
132,2014-01-09,70292.18807763194,74769.05267564644,5334175.162580754,5703152.767046301,1105,100,0.9401240962964256,-368977.604465547
133,2014-01-10,56175.82216068727,59123.41289152385,5390350.984741441,5762276.179937825,554,100,0.9501451187155815,-371925.19519638363
134,2014-01-11,10717.228187706212,11402.652065167998,5401068.212929147,5773678.832002993,15,15,0.9398890825095357,-372610.61907384545
135,2014-01-12,1202.9680396462732,1016.4610839420952,5402271.180968793,5774695.293086935,2,2,1.1834865679076039,-372424.1121181417
136,2014-01-13,69307.00886409657,71210.69628920495,5471578.1898328895,5845905.98937614,648,100,0.9732668331541512,-374327.79954325035
137,2014-01-14,46979.18338210239,48028.574576870466,5518557.373214992,5893934.56395301,127,100,0.978150690416837,-375377.1907380186
138,2014-01-15,44749.68124361826,46335.33457689803,5563307.05445861,5940269.898529909,278,100,0.9657787442831944,-376962.84407129884
139,2014-01-16,70951.28514750728,75350.82135859157,5634258.339606117,6015620.7198885,674,100,0.9416126310004365,-381362.3802823825
140,2014-01-17,70888.90943102291,70392.20654946996,5705147.24903714,6086012.92643797,322,100,1.0070562197990467,-380865.6774008302
141,2014-01-20,69557.84300780049,71811.975862946,5774705.09204494,6157824.902300917,440,100,0.9686106275720981,-383119.8102559764
142,2014-01-21,54450.71145452865,56375.39507982724,5829155.803499469,6214200.297380744,145,100,0.9658595097635547,-385044.49388127495
143,2014-01-22,58991.722716327095,60351.780201791116,5888147.526215795,6274552.077582534,248,100,0.9774645009489934,-386404.551366739
144,2014-01-23,58772.632888899316,60845.268777075325,5946920.159104695,6335397.34635961,318,100,0.9659359564049306,-388477.187254915
145,2014-01-24,67110.10339707142,66470.87914600407,6014030.262501766,6401868.225505614,358,100,1.0096166059375158,-387837.96300384775
146,2014-01-27,71431.82370635666,73769.83778499006,6085462.086208123,6475638.063290603,685,100,0.9683066392873496,-390175.9770824807
147,2014-01-28,73084.75140595122,73908.85980897449,6158546.837614074,6549546.923099578,746,100,0.9888496669390751,-391000.085485504
148,2014-01-29,73178.26858513828,76532.1972794902,6231725.106199212,6626079.120379069,899,100,0.9561762393662422,-394354.0141798565
149,2014-01-30,72161.10802628814,75204.23938972331,6303886.214225501,6701283.359768792,834,100,0.9595351088166046,-397397.14554329123
150,2014-01-31,73269.00948423381,74535.7269998955,6377155.223709735,6775819.086768688,752,100,0.983005230288242,-398663.8630589526
151,2014-02-03,58488.44649347575,60460.80969701907,6435643.670203211,6836279.896465707,153,100,0.9673778235285433,-400636.22626249585
152,2014-02-04,65051.038254164705,67495.54589928468,6500694.708457376,6903775.442364992,344,100,0.9637826820636785,-403080.73390761577
153,2014-02-05,67166.67220864851,68165.59785797636,6567861.380666024,6971941.040222968,417,100,0.985345604223862,-404079.6595569439
154,2014-02-06,73343.94563024542,73830.95272707794,6641205.32629627,7045771.9929500455,734,100,0.9934037544032138,-404566.6666537756
155,2014-02-07,72631.47178214024,75182.08869167954,6713836.79807841,7120954.081641725,1067,100,0.9660741414088755,-407117.28356331494
156,2014-02-10,71851.7133720375,76457.25928490196,6785688.511450448,7197411.340926628,822,100,0.9397631309840331,-411722.82947617956
157,2014-02-11,71814.8057679672,74959.33079280028,6857503.317218415,7272370.671719428,754,100,0.9580502521624019,-414867.3545010127
158,2014-02-12,72666.49035346591,73178.51028185403,6930169.807571881,7345549.182001282,931,100,0.9930031381287208,-415379.374429401
159,2014-02-13,72572.46437452945,75402.55434204369,7002742.271946411,7420951.736343326,882,100,0.9624669218143952,-418209.4643969154
160,2014-02-14,71287.03181098487,75017.94188043785,7074029.303757396,7495969.678223764,1019,100,0.950266429924201,-421940.374466368
161,2014-02-17,72685.60884897938,75282.18687690311,7146714.912606375,7571251.865100667,497,100,0.965508732734219,-424536.9524942916
162,2014-02-18,73989.6948649428,71697.07119506961,7220704.607471318,7642948.936295737,347,100,1.031976531700096,-422244.3288244186
163,2014-02-19,72305.22571394246,76108.04317356687,7293009.83318526,7719056.979469303,557,100,0.9500339609185332,-426047.14628404286
164,2014-02-20,71886.81672122596,72164.99695516269,7364896.649906486,7791221.976424466,654,100,0.9961452193490763,-426325.3265179796
165,2014-02-21,72949.20594617783,75327.0011690947,7437845.855852664,7866548.977593561,1030,100,0.9684336932837778,-428703.12174089625
166,2014-02-24,73639.82276202446,73155.54272025396,7511485.678614689,7939704.520313814,800,100,1.006619868075101,-428218.84169912525
167,2014-02-25,74403.73912596738,75242.60165632475,7585889.417740656,8014947.121970139,882,100,0.9888512290658298,-429057.7042294834
168,2014-02-26,71395.01998049735,74639.49478653073,7657284.437721154,8089586.61675667,1003,100,0.9565313937974448,-432302.17903551646
169,2014-02-27,72736.77534614159,73094.93547042202,7730021.213067295,8162681.552227092,966,100,0.9951000692185389,-432660.33915979695
170,2014-02-28,73341.19929021303,74777.74836105849,7803362.412357508,8237459.3005881505,994,100,0.980789083620047,-434096.8882306423
171,2014-03-03,62195.69301054378,61640.4878418447,7865558.105368052,8299099.788429995,135,100,1.009007150789001,-433541.6830619434
172,2014-03-04,56759.36719681086,56757.34016528736,7922317.472564862,8355857.128595282,219,100,1.00003571399783,-433539.6560304202
173,2014-03-05,66209.00006419323,67220.57977055213,7988526.472629055,8423077.708365835,418,100,0.9849513391611352,-434551.23573677987
174,2014-03-06,67773.09330311057,68677.07098524435,8056299.565932166,8491754.77935108,477,100,0.98683727088,-435455.213418914
175,2014-03-07,72803.40168499095,75548.26257881767,8129102.967617157,8567303.041929897,1044,100,0.963667451770144,-438200.07431274
176,2014-03-10,73530.89606109461,73396.14999225552,8202633.863678251,8640699.191922152,399,100,1.0018358738006463,-438065.328243901
177,2014-03-11,71160.0651659397,72258.16205020898,8273793.928844191,8712957.35397236,531,100,0.9848031439893771,-439163.42512816936
178,2014-03-12,72414.38263139775,74062.57050369635,8346208.311475589,8787019.924476057,499,100,0.9777460077190226,-440811.61300046835
179,2014-03-13,72046.21341887244,72126.99460456485,8418254.524894461,8859146.919080622,475,100,0.9988800145335974,-440892.39418616146
180,2014-03-14,72238.9603398928,75079.93862679972,8490493.485234354,8934226.857707422,744,100,0.9621606205483387,-443733.37247306854
181,2014-03-17,58833.91020787114,62570.87617864476,8549327.395442225,8996797.733886067,222,100,0.9402762723011215,-447470.3384438418
182,2014-03-18,48155.28778085493,50268.84776500609,8597482.68322308,9047066.581651073,138,100,0.9579548750742904,-449583.89842799306
183,2014-03-19,28847.571974084276,28597.408342813203,8626330.255197164,9075663.989993887,69,69,1.0087477728146628,-449333.73479672335
184,2014-03-20,33808.509442065566,34833.40508651163,8660138.764639229,9110497.395080399,84,84,0.9705772191406309,-450358.6304411702
185,2014-03-21,55972.51983676233,56317.19238377664,8716111.284475992,9166814.587464176,171,100,0.993879798824744,-450703.3029881846
186,2014-03-22,4374.614844783656,3988.5631671377982,8720485.899320776,9170803.150631314,12,12,1.0967896612059649,-450317.2513105385
187,2014-03-24,72847.76475249298,75378.51243759744,8793333.664073268,9246181.663068911,1109,100,0.9664261391839013,-452847.9989956431
188,2014-03-25,72592.2765406698,73373.59403356827,8865925.940613938,9319555.25710248,1104,100,0.9893515166704112,-453629.31648854166
189,2014-03-26,72186.37733188877,74521.65050111542,8938112.317945827,9394076.907603595,1109,100,0.9686631582429632,-455964.5896577686
190,2014-03-27,71238.1418713844,73859.80607565634,9009350.459817212,9467936.713679252,1109,100,0.9645048593603603,-458586.2538620401
191,2014-03-28,71275.80121456725,75057.51593402817,9080626.261031779,9542994.22961328,1106,100,0.9496157756834791,-462367.9685815014
192,2014-03-29,5146.228708306502,5155.429622395638,9085772.489740085,9548149.659235675,15,15,0.9982152963452035,-462377.16949559003
193,2014-03-31,71998.72288825367,72840.13069458728,9157771.212628338,9620989.789930262,308,100,0.988448568140802,-463218.5773019232
194,2014-04-01,55926.44216270818,59191.807901294145,9213697.654791046,9680181.597831557,253,100,0.9448341611050104,-466483.94304051064
195,2014-04-02,57892.7320663792,58981.829096222784,9271590.386857426,9739163.426927779,311,100,0.9815350414435803,-467573.0400703531
196,2014-04-03,62265.1122005587,67083.74386421943,9333855.499057984,9806247.170791999,544,100,0.9281699054630305,-472391.6717340145
197,2014-04-04,70813.47860565688,75076.3416041691,9404668.97766364,9881323.512396168,729,100,0.943219622754294,-476654.53473252803
198,2014-04-07,70285.53654473538,73867.32680649757,9474954.514208375,9955190.839202665,1003,100,0.9515104929795953,-480236.32499429025
199,2014-04-08,73725.2168970886,75958.55321763632,9548679.731105464,10031149.392420301,1027,100,0.9705979613099164,-482469.66131483763
200,2014-04-09,74255.808880896,74732.10798614663,9622935.539986359,10105881.500406448,1071,100,0.9936265800860465,-482945.96042008884
201,2014-04-10,73952.79113546584,77105.89494861421,9696888.331121825,10182987.395355063,1062,100,0.9591068385205866,-486099.0642332379
202,2014-04-11,72570.53410354811,76160.60198061558,9769458.865225373,10259147.997335678,971,100,0.9528618763021173,-489689.13211030513
203,2014-04-14,69735.10292887862,69828.08727346339,9839193.968154252,10328976.084609142,188,100,0.9986683819045391,-489782.11645489
204,2014-04-15,54498.600387172664,54411.03912094452,9893692.568541424,10383387.123730086,199,100,1.0016092555415732,-489694.55518866144
205,2014-04-16,59442.64795259579,59935.63447896967,9953135.21649402,10443322.758209055,267,100,0.991774734168421,-490187.5417150352
206,2014-04-17,62048.09144434739,64443.899903509315,10015183.307938367,10507766.658112565,270,100,0.9628233477063132,-492583.3501741979
207,2014-04-18,6367.4349961036305,6241.930093984853,10021550.742934471,10514008.58820655,12,12,1.020106745866911,-492457.8452720791
208,2014-04-21,14042.864138842264,14404.325581076466,10035593.607073313,10528412.913787626,32,32,0.97490604886708,-492819.3067143131
209,2014-04-22,72941.90981961148,75752.53069860961,10108535.516892925,10604165.444486236,324,100,0.9628973335533764,-495629.9275933113
210,2014-04-23,72466.9866350244,74526.53615899662,10181002.503527949,10678691.980645232,276,100,0.9723648833003813,-497689.47711728327
211,2014-04-24,72952.62713335619,72849.05079046362,10253955.130661305,10751541.031435696,186,100,1.0014217939941386,-497585.90077439137
212,2014-04-25,72632.77576001565,75560.6851876732,10326587.90642132,10827101.71662337,1110,100,0.961250888337164,-500513.8102020491
213,2014-04-28,64093.26787420006,67388.69693162818,10390681.17429552,10894490.413554998,1062,100,0.9510981929095376,-503809.2392594777
214,2014-04-29,61613.23947679005,61646.4583319522,10452294.413772311,10956136.87188695,212,100,0.9994611392761077,-503842.4581146389
215,2014-04-30,20472.643093255425,19880.29002935637,10472767.056865567,10976017.161916306,45,45,1.0297959970918107,-503250.1050507389
216,2014-05-01,1529.8264381045585,1843.1468407484545,10474296.883303672,10977860.308757056,2,2,0.8300078996871109,-503563.4254533835
217,2014-05-02,73970.9296638605,75416.42329780119,10548267.812967533,11053276.732054858,1100,100,0.9808331717319345,-505008.9190873243
